ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average
ID778854256,13 Darling St,FAIRFIELD,1200000.0,h,3/06/2017,3,1.0,2.0,440.0,139.0,-37.77558,145.02451000000005,19931.0,671.0329119986903,24.0,0,47,371,27
ID244478945,3/550 Fullarton Rd,KEILOR PARK,600000.0,t,27/11/2016,4,2.0,1.0,231.0,6.0,-37.7263,144.8584,20003.0,5526.667944346155,29.375,0,131,1040,89
ID790990379,149 Spring St,RESERVOIR,850000.0,h,17/06/2017,2,1.0,2.0,494.0,10.0,-37.72596,145.00113000000005,20011.0,307.9872293019815,31.2,1,126,380,68
ID138799980,6/29 Weir St,BALWYN,460000.0,u,16/04/2016,2,1.0,1.0,0.0,69.0,-37.8152,145.0839,19893.0,1060.0419047338028,23.76923076923077,0,120,881,102
ID508696078,22 Wheeler Pl,ESSENDON,1400000.0,h,19/11/2016,3,2.0,2.0,383.0,119.0,-37.7565,144.9241,20037.0,697.6184735586629,24.0,1,47,281,29
ID418086279,1/35 George St,RESERVOIR,491000.0,u,10/12/2016,2,1.0,1.0,168.0,49.0,-37.7167,145.0001,20010.0,607.5724372266055,34.2,1,117,378,47
ID689028667,87 Frawley Rd,HALLAM,1300000.0,h,8/07/2017,3,2.0,2.0,1801.0,14.0,-38.00128,145.27213,19885.0,1843.9095071092863,54.083333333333336,0,86,751,113
ID498494148,130 High St,GLEN IRIS,1550000.0,h,14/05/2016,4,0.0,0.0,769.0,99.0,-37.8628,145.0734,19848.0,704.2481853173518,30.666666666666668,0,240,1683,169
ID743741958,14A Kernot St,SPOTSWOOD,775000.0,h,25/02/2017,3,1.0,1.0,435.0,19.0,-37.8279,144.873,19995.0,1177.3090730247077,14.357142857142858,0,155,728,134
ID908163252,8 Hunter St,RICHMOND,1900000.0,h,23/09/2017,3,1.0,1.0,300.0,7.0,-37.81981,145.00538999999995,19906.0,883.4876859660814,11.904761904761905,1,126,380,68
ID964580776,87 Orrong Rd,ELSTERNWICK,1750000.0,h,19/11/2016,3,2.0,2.0,517.0,119.0,-37.8813,145.0063,19954.0,610.7571594181398,21.5,0,195,1779,147
ID368620838,1/16 Finlayson St,MALVERN,910000.0,t,3/06/2017,2,1.0,2.0,195.0,44.0,-37.86916,145.03565,19944.0,645.5037297912958,20.8,0,102,352,106
ID455153532,221 Mascoma St,STRATHMORE,900000.0,h,13/05/2017,3,1.0,2.0,531.0,54.0,-37.7192,144.9045,20033.0,1505.030796009922,34.0,0,176,1272,233
ID588421712,29 Briardale Dr,WERRIBEE,490000.0,h,19/08/2017,3,2.0,2.0,536.0,29.0,-37.90419,144.63761,19921.0,2133.206263383114,35.142857142857146,0,18,38,6
ID312853599,3/4 Murrell St,GLENROY,434500.0,t,19/11/2016,2,1.0,1.0,125.0,44.0,-37.7042,144.9211,20032.0,343.7269800649283,36.0,0,210,1676,169
ID202475484,3 Charles St,HADFIELD,1102000.0,h,27/11/2016,3,1.0,2.0,1020.0,7.0,-37.709,144.9434,19962.0,1634.3697176475146,37.0,0,210,1676,169
ID182357928,10 Sheridan Wy,ROXBURGH PARK,490000.0,h,29/07/2017,3,2.0,2.0,400.0,23.0,-37.62584,144.92506,40220.0,1653.5191899062138,45.0,0,53,230,55
ID212631729,37 Spencer Pl,RICHMOND,1500000.0,t,16/09/2017,3,2.0,2.0,72.0,8.0,-37.81937,145.00146,19978.0,1010.57532254854,9.125,0,126,380,68
ID427245568,105 Ivanhoe Pde,IVANHOE,1758000.0,h,25/02/2017,4,2.0,2.0,650.0,39.0,-37.7607,145.0456,19934.0,801.3714464564072,29.0,0,84,237,59
ID162997414,92 Simpson St,YARRAVILLE,950000.0,h,6/05/2017,2,1.0,0.0,94.0,79.0,-37.8167,144.888,19996.0,194.57522563107656,11.357142857142858,0,111,355,60
